Instance;Mode;Algorithm;Run;K;Time
myciel3.col;greedy;TS;1;4;0.0170334166666667
myciel3.col;greedy;HS;1;4;0.0265294583333333
myciel3.col;greedy;TS;2;4;0.0146115
myciel3.col;greedy;HS;2;4;0.033836875
myciel3.col;greedy;TS;3;4;0.00425741666666667
myciel3.col;greedy;HS;3;4;0.00553554166666667
myciel3.col;greedy;TS;4;4;0.003430125
myciel3.col;greedy;HS;4;4;0.004241625
myciel3.col;greedy;TS;5;4;0.00388133333333333
myciel3.col;greedy;HS;5;4;0.00438508333333333
myciel3.col;greedy;TS;6;4;0.00297508333333333
myciel3.col;greedy;HS;6;4;0.0035885
myciel3.col;greedy;TS;7;4;0.00279191666666667
myciel3.col;greedy;HS;7;4;0.00346129166666667
myciel3.col;greedy;TS;8;4;0.002770125
myciel3.col;greedy;HS;8;4;0.00333983333333333
myciel3.col;greedy;TS;9;4;0.00275258333333333
myciel3.col;greedy;HS;9;4;0.00337308333333333
myciel3.col;greedy;TS;10;4;0.00272633333333333
myciel3.col;greedy;HS;10;4;0.003514125
myciel3.col;random;TS;1;4;0.00296670833333333
myciel3.col;random;HS;1;4;0.004804375
myciel3.col;random;TS;2;4;0.00302633333333333
myciel3.col;random;HS;2;4;0.003259625
myciel3.col;random;TS;3;4;0.00293370833333333
myciel3.col;random;HS;3;4;0.00342479166666667
myciel3.col;random;TS;4;4;0.00297029166666667
myciel3.col;random;HS;4;4;0.00316191666666667
myciel3.col;random;TS;5;4;0.003110125
myciel3.col;random;HS;5;4;0.00324454166666667
myciel3.col;random;TS;6;4;0.00295783333333333
myciel3.col;random;HS;6;4;0.003233875
myciel3.col;random;TS;7;4;0.00281066666666667
myciel3.col;random;HS;7;4;0.00368929166666667
myciel3.col;random;TS;8;4;0.003314625
myciel3.col;random;HS;8;4;0.00353616666666667
myciel3.col;random;TS;9;4;0.00285920833333333
myciel3.col;random;HS;9;4;0.00338133333333333
myciel3.col;random;TS;10;4;0.00267654166666667
myciel3.col;random;HS;10;4;0.003212875
myciel4.col;greedy;TS;1;5;0.00568895833333333
myciel4.col;greedy;HS;1;5;0.00636320833333333
myciel4.col;greedy;TS;2;5;0.004976
myciel4.col;greedy;HS;2;5;0.00562554166666667
myciel4.col;greedy;TS;3;5;0.00475770833333333
myciel4.col;greedy;HS;3;5;0.00552954166666667
myciel4.col;greedy;TS;4;5;0.00481883333333333
