Instance;K;HMCR;PAR;Mean_FinalConflicts;Std_FinalConflicts;FeasibleRate_Pct;Mean_ConvIter;Mean_Time
le450_5a.col;11;0.7;0.1;0;0;100;1;0.0285223333333333
le450_5a.col;11;0.7;0.3;0;0;100;1;0.0221696333333333
le450_5a.col;11;0.7;0.5;0;0;100;1;0.02206985
le450_5a.col;11;0.85;0.1;0;0;100;1;0.0222073
le450_5a.col;11;0.85;0.3;0;0;100;1;0.0221884833333333
le450_5a.col;11;0.85;0.5;0;0;100;1;0.0221349
le450_5a.col;11;0.95;0.1;0;0;100;1;0.0220599583333333
le450_5a.col;11;0.95;0.3;0;0;100;1;0.0221415
le450_5a.col;11;0.95;0.5;0;0;100;1;0.0221266416666667
DSJC500.1.col;17;0.7;0.1;0;0;100;1;0.0333364416666667
DSJC500.1.col;17;0.7;0.3;0;0;100;1;0.0333191
DSJC500.1.col;17;0.7;0.5;0;0;100;1;0.033355375
DSJC500.1.col;17;0.85;0.1;0;0;100;1;0.0330572833333333
DSJC500.1.col;17;0.85;0.3;0;0;100;1;0.0332605916666667
DSJC500.1.col;17;0.85;0.5;0;0;100;1;0.0366881916666667
DSJC500.1.col;17;0.95;0.1;0;0;100;1;0.0341433916666667
DSJC500.1.col;17;0.95;0.3;0;0;100;1;0.0341480833333333
DSJC500.1.col;17;0.95;0.5;0;0;100;1;0.0337114333333333
